Player,Points,Assists,Rebounds,Steals
Player_1,7.6,1.7,9.4,1.1
Player_2,8.2,8.8,0.7,1.1
Player_3,9.9,2.1,9.0,0.2
Player_4,8.7,0.9,12.4,0.2
Player_5,8.0,10.1,3.2,1.7
Player_6,10.1,2.1,9.4,0.8
Player_7,11.8,0.2,12.1,0.9
Player_8,23.2,5.6,6.0,0.2
Player_9,24.1,3.7,4.8,1.9
Player_10,23.9,3.9,6.9,0.2
Player_11,24.3,2.4,5.2,0.2
Player_12,9.2,1.7,12.2,2.2
Player_13,8.3,1.0,11.8,0.2
Player_14,23.4,2.9,6.6,1.9
Player_15,7.6,8.5,3.7,3.8
Player_16,9.4,1.6,11.5,0.5
Player_17,23.7,1.6,5.0,0.4
Player_18,11.5,2.8,11.0,1.6
Player_19,23.6,4.4,5.0,1.8
Player_20,6.3,9.5,1.8,0.2
Player_21,9.6,0.8,11.2,3.6
Player_22,22.9,2.2,5.3,1.6
Player_23,7.8,8.7,4.9,2.5
Player_24,22.7,2.9,5.0,0.2
Player_25,10.3,0.9,12.3,1.0
Player_26,24.1,2.2,4.8,0.2
Player_27,8.5,2.5,8.2,1.8
Player_28,5.7,10.0,2.9,2.8
Player_29,8.2,7.0,5.6,3.7
Player_30,7.9,8.6,3.8,0.5
Player_31,9.4,8.3,3.9,0.8
Player_32,7.2,7.3,5.6,1.6
Player_33,9.3,9.0,3.1,1.4
Player_34,9.3,2.0,10.5,0.3
Player_35,8.2,1.0,13.2,0.2
Player_36,8.6,2.4,12.8,0.2
Player_37,9.7,1.2,8.7,1.7
Player_38,8.0,9.1,3.0,2.4
Player_39,7.3,8.8,2.6,0.2
Player_40,11.7,1.3,11.4,0.7
