House_Size,Rooms,Age,Distance_to_City,Price
1418.4290665628605,4.0,12.0,23.0,563822.14
1654.89076372893,3.0,18.0,26.2,607863.57
941.9879049908666,3.0,14.0,10.6,209566.89
1358.5142274373427,3.0,25.0,16.6,363209.51
1749.621087764424,5.0,11.0,20.4,711122.05
2007.938485450036,7.0,24.0,20.5,1000000.0
1778.9631756920905,4.0,34.0,22.6,702260.15
2427.8340196576964,2.0,19.0,5.2,537202.4
1657.4088243927943,4.0,28.0,18.3,613591.41
1359.8085280619578,4.0,17.0,12.9,434609.07
1681.2579596514224,4.0,15.0,22.7,615642.76
1925.0706078854619,3.0,23.0,22.9,643849.62
2082.3188934225545,4.0,25.0,15.4,738561.88
1680.3088837966698,3.0,25.0,3.8,293094.12
1706.0264663257294,6.0,21.0,15.6,720039.78
1915.6590629049983,4.0,30.0,11.3,574906.82
1869.9841484378233,3.0,17.0,10.9,488749.79
1821.4087577513092,3.0,24.0,18.2,549842.54
2633.830438310286,4.0,32.0,9.2,800530.57
2189.656117910099,4.0,23.0,15.2,712917.45
1564.4379383938824,4.0,24.0,9.7,451442.94
1244.2116683326653,4.0,22.0,18.2,442289.53
2071.9202002458273,4.0,26.0,13.3,625863.03
1753.794217385194,3.0,18.0,13.5,505690.56
2126.6992271616946,5.0,23.0,11.8,782669.44
1932.5080306545547,2.0,22.0,17.4,512042.53
1526.358241472702,2.0,15.0,7.3,242859.96
1917.3019491176133,4.0,15.0,25.0,706386.28
1442.5845343689625,4.0,24.0,17.9,505701.76
2406.9329438604227,5.0,17.0,10.6,803652.35
2648.3160464184857,4.0,27.0,8.9,747945.35
1855.9943627850566,3.0,24.0,9.2,455653.28
1910.31160412606,2.0,23.0,11.5,402154.56
1739.0956343102584,5.0,24.0,16.2,671079.0
1572.367948498812,4.0,13.0,9.0,445696.12
1972.3850154821525,4.0,21.0,15.1,639728.29
1594.2473039789518,3.0,11.0,9.8,381451.25
1768.3968703451183,3.0,13.0,15.1,490545.62
1250.3055246725833,3.0,17.0,8.3,299663.62
2328.8441277227507,5.0,29.0,17.6,816942.02
2344.0119909006416,5.0,16.0,10.3,745832.38
1777.2724987372728,4.0,25.0,8.4,492969.46
1225.3610209198239,3.0,18.0,9.1,268534.43
1393.4837813327858,4.0,13.0,12.4,483760.5
1605.6243624237336,3.0,27.0,2.5,310924.5
2040.1499011504995,4.0,19.0,4.3,569789.31
2053.57415607442,2.0,38.0,4.1,366209.17
1348.4738817691734,4.0,19.0,5.1,298283.25
1292.8281830145777,4.0,22.0,5.9,353681.28
2287.5104070592956,4.0,20.0,10.2,648102.59
2038.3167398844107,3.0,24.0,22.8,710743.7
1524.2763189307195,2.0,20.0,14.0,367193.43
2526.571100924407,4.0,14.0,21.8,879986.36
1832.7898633857876,2.0,20.0,9.7,383789.64
2039.3106405806132,4.0,11.0,13.2,671428.38
2208.800202139657,3.0,33.0,13.5,620200.07
2691.4697778808772,5.0,16.0,11.6,870706.99
1784.1910361489242,3.0,8.0,14.0,492464.72
1248.8281419500327,2.0,23.0,18.2,317116.78
1820.1384044254175,3.0,28.0,11.0,492218.49
1772.483125478319,3.0,25.0,26.5,654902.25
1344.4945893244326,3.0,17.0,6.6,336597.34
1638.286263324033,4.0,21.0,13.4,492263.01
715.3354179104996,3.0,19.0,13.4,199209.91
2248.6000407937654,4.0,32.0,14.2,706089.89
1138.3255836189132,2.0,15.0,14.0,206989.5
2236.522996484744,1.0,26.0,3.4,334533.55
1605.4932267112274,2.0,14.0,18.9,438072.11
1769.0131195517715,3.0,10.0,24.5,592147.51
2144.579730200751,2.0,21.0,15.8,500015.7
2107.4829880060324,3.0,20.0,6.5,449692.49
1590.1262626586706,3.0,15.0,14.2,453017.24
2063.603465165971,4.0,21.0,7.0,574563.79
2106.667053451434,5.0,25.0,16.8,781105.45
1956.169105380048,2.0,9.0,10.8,397359.14
1686.6934175084248,4.0,20.0,15.9,567434.05
1544.1055596362824,3.0,16.0,24.8,564175.66
1563.6792969860862,4.0,14.0,17.5,570541.03
1599.9064039972438,3.0,9.0,20.1,513841.38
1736.3709616564256,4.0,26.0,12.0,512224.72
1861.6636453323476,4.0,39.0,20.0,635441.36
1687.0536383754022,4.0,11.0,11.5,524809.16
1483.878341436963,4.0,21.0,12.1,441564.74
2013.095672562747,5.0,26.0,11.6,690382.99
1269.9921815925607,3.0,18.0,20.7,401083.41
1820.516865651552,4.0,16.0,19.5,652084.21
1985.844365908887,3.0,10.0,16.8,534533.8
1859.8528187085417,5.0,25.0,18.0,717754.32
1808.8283165994953,3.0,32.0,5.2,455212.8
2107.2912392933017,4.0,28.0,25.1,783426.68
1708.1978238994618,3.0,30.0,11.1,399837.88
1722.0766714759889,2.0,37.0,17.3,424740.49
1598.807172702593,4.0,17.0,11.0,476770.71
1784.1395171525883,4.0,23.0,12.3,553350.14
1991.686361365145,3.0,27.0,22.4,619815.24
2432.8008373946273,5.0,9.0,12.3,798612.49
2034.7186915833427,3.0,22.0,3.8,411560.48
1606.372039967934,3.0,18.0,16.0,446382.77
2147.6252855910216,2.0,23.0,12.6,524582.28
1381.7684777410605,3.0,19.0,3.9,268587.98
2528.217187629063,4.0,19.0,14.8,783657.69
2303.2256913027422,3.0,29.0,14.9,674467.9
1870.7589365166286,3.0,26.0,13.8,532676.33
1151.991681129444,4.0,16.0,16.4,394146.56
2298.512487513849,4.0,27.0,13.9,760803.07
2062.07543823423,5.0,16.0,10.4,689349.9
1913.5670826336002,5.0,9.0,9.3,607169.3
1913.151514615518,3.0,14.0,19.6,602677.56
1574.63741748824,3.0,26.0,16.7,449307.1
1108.3262862568333,2.0,33.0,13.4,248369.0
2352.22740001297,4.0,17.0,5.2,611602.9
1646.55256309897,3.0,10.0,9.0,430198.81
1818.413761148464,3.0,21.0,1.9,385537.22
1561.0295161450385,2.0,30.0,16.0,392825.22
2794.784766909468,4.0,16.0,13.2,820147.64
1390.2999431524033,6.0,25.0,10.4,573511.98
1146.670371244863,3.0,19.0,15.0,294025.72
2275.0187286410574,5.0,0.0,1.4,620627.59
1283.3611409079176,4.0,34.0,19.2,495263.1
1769.1609415050773,3.0,16.0,10.5,434486.24
1655.400143807055,3.0,15.0,16.3,507021.11
2248.6565808677087,5.0,10.0,10.9,764464.68
1256.7391009723906,2.0,22.0,14.9,262815.11
2630.1761061771113,3.0,21.0,17.5,782905.93
1514.5628621888693,5.0,20.0,24.5,686482.57
1881.2018754774913,4.0,25.0,15.8,610267.0
1310.8844107337377,4.0,35.0,17.7,477129.65
964.3187202436354,4.0,23.0,13.2,292280.18
1905.0995412569853,3.0,15.0,22.6,692051.02
1823.799208328858,3.0,25.0,5.8,371967.62
1534.9633825372857,2.0,6.0,13.9,347838.57
1435.7569755847692,3.0,12.0,5.5,297989.15
2171.47574678779,3.0,32.0,12.5,594673.91
1197.2467467795036,4.0,22.0,20.6,488480.97
1752.6739233590788,3.0,15.0,17.5,565417.84
500.0,4.0,13.0,7.6,100000.0
1275.6297564126821,4.0,8.0,24.2,562618.69
1927.1285662062844,4.0,10.0,8.1,533688.39
2144.213616551728,3.0,14.0,15.7,618325.56
2406.790807072298,3.0,19.0,18.3,751235.35
1864.544812459057,4.0,19.0,1.6,436525.75
2800.0359353429826,3.0,18.0,14.1,733164.21
1556.18107658984,4.0,34.0,17.2,605961.53
1957.6742038379791,3.0,30.0,18.4,583206.38
1389.9613338724062,3.0,33.0,0.9,247342.78
2126.0984567009637,3.0,26.0,21.8,656918.17
1753.6324877244879,5.0,27.0,19.7,688516.98
1390.6684095436242,3.0,33.0,13.0,382040.28
1430.2601992773932,3.0,19.0,8.9,316519.82
1023.1270271246807,4.0,22.0,13.6,290073.36
1426.7396165656917,3.0,28.0,16.7,443062.62
2040.9579431032482,5.0,7.0,13.4,701311.93
2176.200486101593,2.0,21.0,10.8,513629.52
1775.6205899814581,4.0,16.0,20.8,620421.69
